Preco_Seguro,Fabricante,Modelo,Ano,Categoria,Interior_Couro,Tipo_Combustivel,Volume_Motor,Quilometragem,Cilindros,Tipo_Cambio,Tracao_Rodas,Portas,Rodas,Cor,Airbag
13328,LEXUS,RX 450,2010,JEEP,SIM,HIBRIDO,35,186005,6.0,AUTOMATICO,4x4,04,ESQUERDA,PRATA,12
16621,CHEVROLET,EQUINOX,2011,JEEP,NÃO,GASOLINA,3,192000,6.0,TIPTRONIC,4x4,04,ESQUERDA,PRETO,8
8467,HONDA,FIT,2006,HATCHBACK,NÃO,GASOLINA,13,200000,4.0,VARIADO,FRENTE,04,DIREITA,PRETO,2
3607,FORD,ESCAPE,2011,JEEP,SIM,HIBRIDO,25,168966,4.0,AUTOMATICO,4x4,04,ESQUERDA,BRANCO,0
11726,HONDA,FIT,2014,HATCHBACK,SIM,GASOLINA,13,91901,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
39493,HYUNDAI,SANTA FE,2016,JEEP,SIM,DIESEL,2,160931,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
1803,TOYOTA,PRIUS,2010,HATCHBACK,SIM,HIBRIDO,18,258909,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,12
1098,TOYOTA,CAMRY,2014,SEDAN,SIM,HIBRIDO,25,398069,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,12
26657,LEXUS,RX 350,2007,JEEP,SIM,GASOLINA,35,128500,6.0,AUTOMATICO,4x4,04,ESQUERDA,PRATA,12
8781,FORD,TRANSIT,1999,MICROBUS,NÃO,CNG,4,0,8.0,MANUAL,TRASEIRA,02,ESQUERDA,AZUL,0
3000,OPEL,VECTRA,1997,GOODS WAGON,NÃO,CNG,16,350000,4.0,MANUAL,FRENTE,04,ESQUERDA,BRANCO,4
1019,LEXUS,RX 450,2013,JEEP,SIM,HIBRIDO,35,138038,6.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,12
59464,HYUNDAI,SANTA FE,2016,JEEP,SIM,DIESEL,2,76000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
7683,HYUNDAI,ELANTRA,2016,SEDAN,SIM,GASOLINA,18,121840,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AZUL,12
28382,HYUNDAI,ELANTRA,2016,SEDAN,SIM,GASOLINA,18,54317,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,4
18826,HYUNDAI,ELANTRA,2012,SEDAN,SIM,GASOLINA,16,112645,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
20698,TOYOTA,PRIUS,2012,SEDAN,SIM,HIBRIDO,18,187000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,12
17562,TOYOTA,CAMRY,2017,SEDAN,SIM,GASOLINA,25,39709,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,12
7840,FORD,TRANSIT,2001,MICROBUS,NÃO,DIESEL,20,230000,4.0,MANUAL,FRENTE,02,ESQUERDA,BRANCO,0
4704,OPEL,VECTRA,1995,SEDAN,NÃO,GASOLINA,18,0,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,VERDE,4
20385,MERCEDES-BENZ,E 220,2006,SEDAN,SIM,DIESEL,22,210000,4.0,TIPTRONIC,TRASEIRA,04,ESQUERDA,PRETO,8
14454,HYUNDAI,ELANTRA,2011,SEDAN,SIM,GASOLINA,16,158787,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
12074,TOYOTA,HIGHLANDER,2009,JEEP,SIM,HIBRIDO,33,420550,6.0,AUTOMATICO,4x4,04,ESQUERDA,AZUL,12
15681,MERCEDES-BENZ,VITO,2007,GOODS WAGON,NÃO,DIESEL,20,180000,6.0,MANUAL,TRASEIRA,04,ESQUERDA,BRANCO,4
19444,PORSCHE,CAYENNE,2014,JEEP,SIM,DIESEL,3,175056,6.0,AUTOMATICO,4x4,04,ESQUERDA,BRANCO,12
6899,BMW,X5,2000,JEEP,SIM,CNG,44,200000,8.0,AUTOMATICO,4x4,04,ESQUERDA,PRATA,6
24462,JEEP,GRAND CHEROKEE,2007,JEEP,SIM,DIESEL,30,250000,6.0,TIPTRONIC,4x4,04,ESQUERDA,PRETO,10
23235,HYUNDAI,SANTA FE,2011,JEEP,SIM,DIESEL,2,162000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,4
51746,TOYOTA,CHR LIMITED,2019,JEEP,NÃO,GASOLINA,2,10200,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,VERMELHO,12
7527,HONDA,FIT,2010,HATCHBACK,NÃO,HIBRIDO,13,158000,4.0,AUTOMATICO,FRENTE,04,DIREITA,PRETO,4
19121,HYUNDAI,ELANTRA,2012,SEDAN,SIM,GASOLINA,16,103490,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
24462,TOYOTA,CAMRY,2013,SEDAN,SIM,GASOLINA,24,203200,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AZUL,4
45734,HYUNDAI,H1,2016,UNIVERSAL,SIM,DIESEL,25,61057,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
20165,VOLKSWAGEN,JETTA,2016,SEDAN,SIM,GASOLINA,14,11200,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRETO,8
21326,HYUNDAI,SONATA,2014,SEDAN,SIM,HIBRIDO,24,141000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,BRANCO,12
15681,TOYOTA,PRIUS C,2012,HATCHBACK,NÃO,HIBRIDO,15,128000,4.0,VARIADO,FRENTE,04,ESQUERDA,AZUL CLARO,8
55390,HYUNDAI,SANTA FE,2017,JEEP,SIM,DIESEL,2,100734,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
12544,TOYOTA,AQUA,2012,HATCHBACK,NÃO,HIBRIDO,15,141500,4.0,AUTOMATICO,FRENTE,04,DIREITA,PRETO,8
17249,FORD,ESCAPE HYBRID,2008,JEEP,NÃO,HIBRIDO,23,147000,4.0,VARIADO,4x4,04,ESQUERDA,BRANCO,8
34889,HONDA,CIVIC,2016,SEDAN,SIM,GASOLINA,2,87768,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,AZUL,4
14583,RENAULT,MEGANE 1.5CDI,2008,SEDAN,NÃO,DIESEL,15,132542,4.0,MANUAL,FRENTE,04,ESQUERDA,BRANCO,10
38500,AUDI,Q5,2014,JEEP,SIM,GASOLINA,2,87000,1.0,TIPTRONIC,4x4,04,ESQUERDA,BRANCO,12
8781,MERCEDES-BENZ,C 180,2001,COUPE,NÃO,GASOLINA,2,260000,4.0,MANUAL,TRASEIRA,02,ESQUERDA,AZUL,0
87112,MERCEDES-BENZ,GLA 250,2019,JEEP,SIM,GASOLINA,20,5323,4.0,TIPTRONIC,4x4,04,ESQUERDA,CINZA,0
1411,NISSAN,JUKE,2015,JEEP,SIM,GASOLINA,16,87112,4.0,AUTOMATICO,4x4,04,ESQUERDA,PRETO,0
23521,CHEVROLET,CRUZE LT,2018,SEDAN,NÃO,GASOLINA,14,22000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,VERMELHO,6
16935,FORD,FUSION,2013,SEDAN,NÃO,GASOLINA,16,83000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRATA,8
10349,TOYOTA,VOXY,2007,MINIVAN,SIM,GASOLINA,24,170000,4.0,AUTOMATICO,FRENTE,04,DIREITA,PRETO,6
7213,NISSAN,JUKE,2013,JEEP,SIM,GASOLINA,16,312118,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,0
5331,MERCEDES-BENZ,A 160,2004,SEDAN,NÃO,GASOLINA,16,130000,4.0,TIPTRONIC,FRENTE,04,ESQUERDA,PRETO,6
20526,HYUNDAI,TUCSON,2013,JEEP,SIM,DIESEL,2,200279,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,4
34657,HYUNDAI,H1,2014,MINIVAN,SIM,DIESEL,25,154672,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
36564,HYUNDAI,H1,2016,MINIVAN,SIM,DIESEL,25,110969,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRETO,4
5488,TOYOTA,VITZ,2001,HATCHBACK,NÃO,GASOLINA,15,210000,4.0,MANUAL,FRENTE,04,DIREITA,AZUL CLARO,3
30063,HYUNDAI,H1,2015,UNIVERSAL,SIM,DIESEL,25,148105,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
15800,CHEVROLET,CAPTIVA,2011,JEEP,SIM,DIESEL,22,255456,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
43952,HYUNDAI,H1,2017,UNIVERSAL,SIM,DIESEL,25,111643,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,CINZA,4
53154,HYUNDAI,SANTA FE,2016,JEEP,SIM,DIESEL,2,84506,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,4
14740,TOYOTA,PRIUS,2011,HATCHBACK,NÃO,HIBRIDO,18,288000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,8
42337,FORD,MUSTANG,2016,CABRIOLET,SIM,GASOLINA,23,75000,4.0,TIPTRONIC,TRASEIRA,02,ESQUERDA,PRATA,6
3763,MERCEDES-BENZ,ML 350,2014,JEEP,SIM,GASOLINA,35,94362,6.0,AUTOMATICO,TRASEIRA,04,ESQUERDA,BRANCO,12
18189,TOYOTA,PRIUS,2012,SEDAN,NÃO,GASOLINA,18,175000,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,PRATA,8
5645,TOYOTA,HIGHLANDER,2010,JEEP,SIM,HIBRIDO,33,264877,6.0,AUTOMATICO,4x4,04,ESQUERDA,BRANCO,12
7527,TOYOTA,YARIS,2019,SEDAN,SIM,GASOLINA,15,27656,4.0,AUTOMATICO,FRENTE,04,ESQUERDA,BRANCO,12
21953,HONDA,CIVIC,2014,SEDAN,NÃO,HIBRIDO,14,16000,8.0,AUTOMATICO,4x4,04,DIREITA,BRANCO,10
