Preco_Seguro,Modelo,Ano,Categoria,Volume_Motor,Quilometragem,Cilindros,Cor,Airbag
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
13172,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
133284,RX 450,2016,JEEP,35,55000,6.0,PRETO,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
62722,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
14269,RX 450,2010,JEEP,35,186005,6.0,PRATA,0
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
14426,RX 450,2010,JEEP,35,249112,6.0,CINZA,0
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
13172,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
53314,RX 450,2012,JEEP,35,65000,6.0,DOURADO,8
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
11917,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
62722,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
65858,RX 450,2014,JEEP,35,43000,4.0,BRANCO,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
1176,RX 450,2010,JEEP,35,0,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
47038,RX 450,2010,JEEP,35,166000,6.0,PRATA,0
65858,RX 450,2014,JEEP,35,68800,6.0,BRANCO,10
36065,RX 450,2013,JEEP,35,0,6.0,PRETO,0
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
20698,RX 450,2012,JEEP,35,236016,6.0,PRETO,12
3607,RX 450,2013,JEEP,35,163010,6.0,PRETO,12
11290,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
11917,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
12231,RX 450,2010,JEEP,35,413474,6.0,AZUL,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
44846,RX 450,2011,JEEP,35,114000,6.0,BRANCO,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
56450,RX 450,2013,JEEP,35,85000,6.0,BRANCO,12
14583,RX 450,2012,JEEP,35,257072,6.0,CINZA,12
30107,RX 450,2012,JEEP,35,236016,6.0,PRETO,12
5175,RX 450,2013,JEEP,35,151288,6.0,CINZA,12
65858,RX 450,2014,JEEP,35,66575,6.0,BRANCO,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
11917,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
7997,RX 450,2008,JEEP,35,244731,6.0,PRETO,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
26657,RX 450,2010,JEEP,35,0,6.0,PRETO,0
11290,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12
59583,RX 450,2014,JEEP,35,65000,6.0,PRETO,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12
55823,RX 450,2012,JEEP,35,187000,6.0,CINZA,12
44846,RX 450,2011,JEEP,35,90000,6.0,PRATA,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12
14269,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12
11290,RX 450,2016,JEEP,35,59858,6.0,PRATA,12
16621,EQUINOX,2011,JEEP,3,192000,6.0,PRETO,8
1568,EQUINOX,2014,JEEP,24,251514,4.0,PRETO,12
3920,EQUINOX,2014,JEEP,24,179995,4.0,AZUL,12
1568,EQUINOX,2011,JEEP,24,80000,4.0,BRANCO,12
32929,EQUINOX,2016,JEEP,24,57600,4.0,VERMELHO,12
1254,EQUINOX,2016,JEEP,24,0,4.0,PRATA,12
1568,EQUINOX,2014,JEEP,24,251514,4.0,PRETO,12
3293,EQUINOX,2014,JEEP,36,97106,6.0,PRATA,12
32929,EQUINOX,2016,JEEP,24,57600,4.0,VERMELHO,12
2430,EQUINOX,2012,JEEP,24,254838,4.0,BRANCO,12
3450,EQUINOX,2012,JEEP,24,233733,4.0,PRETO,12
1568,EQUINOX,2011,JEEP,24,80000,4.0,BRANCO,12
10349,EQUINOX,2019,SEDAN,15,17051,4.0,BRANCO,12
26657,EQUINOX,2014,JEEP,24,55000,4.0,BRANCO,12
35438,EQUINOX,2018,JEEP,15,9000,4.0,PRETO,8
1960,EQUINOX,2017,JEEP,24,115573,4.0,BRANCO,12
3136,EQUINOX,2013,JEEP,24,168179,4.0,CINZA,12
1019,EQUINOX,2012,JEEP,3,343283,6.0,MARROM,12
1568,EQUINOX,2011,JEEP,24,80000,4.0,BRANCO,12
16621,EQUINOX,2011,JEEP,3,192000,6.0,PRETO,8
8467,FIT,2006,HATCHBACK,13,200000,4.0,PRETO,2
11726,FIT,2014,HATCHBACK,13,91901,4.0,PRATA,4
7527,FIT,2010,HATCHBACK,13,158000,4.0,PRETO,4
8781,FIT,2012,HATCHBACK,13,83000,4.0,VERDE,12
5620,FIT,2013,HATCHBACK,13,110467,4.0,BRANCO,4
9408,FIT,2012,HATCHBACK,13,64000,4.0,PRETO,4
16900,FIT,2013,HATCHBACK,15,70000,4.0,AZUL,4
7464,FIT,2014,HATCHBACK,13,114950,4.0,AZUL,4
11290,FIT,2013,SEDAN,13,145000,4.0,PRATA,8
25365,FIT,2013,HATCHBACK,15,34682,4.0,CINZA,4
10660,FIT,2014,HATCHBACK,15,76525,4.0,AZUL,4
10663,FIT,2014,HATCHBACK,15,114000,4.0,BRANCO,8
11604,FIT,2010,HATCHBACK,13,157000,4.0,BRANCO,2
11917,FIT,2011,HATCHBACK,13,188000,4.0,AZUL,8
10976,FIT,2012,HATCHBACK,15,216000,4.0,CINZA,12
8154,FIT,2011,SEDAN,13,185000,4.0,PRETO,2
10663,FIT,2011,SEDAN,13,127000,4.0,PRETO,2
10976,FIT,2014,HATCHBACK,15,121000,4.0,PRATA,0
9095,FIT,2011,HATCHBACK,13,14590,4.0,CINZA,0
19124,FIT,2013,HATCHBACK,15,94500,4.0,VERMELHO,4
6899,FIT,2003,SEDAN,13,155000,4.0,AZUL,6
7150,FIT,2012,HATCHBACK,13,129000,4.0,BRANCO,4
9722,FIT,2006,HATCHBACK,15,185000,4.0,BRANCO,2
38822,FIT,2017,UNIVERSAL,15,3474,4.0,AZUL,4
41867,FIT,2017,UNIVERSAL,15,29220,4.0,PRETO,4
5758,FIT,2013,HATCHBACK,13,116581,4.0,PRATA,4
14115,FIT,2010,HATCHBACK,13,147857,4.0,AZUL,4
12231,FIT,2012,HATCHBACK,13,147000,4.0,PRATA,8
7527,FIT,2011,SEDAN,13,122233,4.0,AZUL,0
9656,FIT,2015,HATCHBACK,15,152203,4.0,PRATA,4
8781,FIT,2005,HATCHBACK,15,170000,4.0,BEGE,6
8467,FIT,2012,HATCHBACK,13,60000,4.0,PRETO,4
11290,FIT,2013,HATCHBACK,15,120000,4.0,CINZA,4
9593,FIT,2013,UNIVERSAL,13,112405,4.0,PRETO,4
8781,FIT,2004,HATCHBACK,15,172000,4.0,CINZA,2
16308,FIT,2013,SEDAN,15,128000,4.0,PRATA,2
30906,FIT,2017,HATCHBACK,13,68000,4.0,BRANCO,4
13328,FIT,2014,HATCHBACK,15,58000,4.0,PRETO,4
10349,FIT,2014,HATCHBACK,15,130000,3.0,PRATA,2
22197,FIT,2016,HATCHBACK,13,70000,4.0,PRATA,4
27284,FIT,2019,HATCHBACK,15,1500,4.0,AMARELO,6
