Preco_Seguro_x,Modelo_x,Ano_x,Categoria_x,Volume_Motor_x,Quilometragem_x,Cilindros_x,Cor_x,Airbag_x,Preco_Seguro_y,Modelo_y,Ano_y,Categoria_y,Volume_Motor_y,Quilometragem_y,Cilindros_y,Cor_y,Airbag_y
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
13172,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13172,496,20,4,35,186005,6.0,9,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12,34811,496,26,4,35,0,6.0,5,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
133284,RX 450,2016,JEEP,35,55000,6.0,PRETO,12,133284,496,26,4,35,55000,6.0,10,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
62722,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,62722,496,26,4,35,59858,6.0,9,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
14269,RX 450,2010,JEEP,35,186005,6.0,PRATA,0,14269,496,20,4,35,186005,6.0,9,0
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
14426,RX 450,2010,JEEP,35,249112,6.0,CINZA,0,14426,496,20,4,35,249112,6.0,5,0
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12,34811,496,26,4,35,0,6.0,5,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
13172,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13172,496,20,4,35,186005,6.0,9,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12,34811,496,26,4,35,0,6.0,5,12
53314,RX 450,2012,JEEP,35,65000,6.0,DOURADO,8,53314,496,22,4,35,65000,6.0,6,8
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12,34811,496,26,4,35,0,6.0,5,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12,34811,496,26,4,35,0,6.0,5,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
11917,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,11917,496,26,4,35,59858,6.0,9,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
62722,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,62722,496,26,4,35,59858,6.0,9,12
65858,RX 450,2014,JEEP,35,43000,4.0,BRANCO,12,65858,496,24,4,35,43000,4.0,4,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
1176,RX 450,2010,JEEP,35,0,6.0,PRATA,12,1176,496,20,4,35,0,6.0,9,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
34811,RX 450,2016,JEEP,35,0,6.0,CINZA,12,34811,496,26,4,35,0,6.0,5,12
47038,RX 450,2010,JEEP,35,166000,6.0,PRATA,0,47038,496,20,4,35,166000,6.0,9,0
65858,RX 450,2014,JEEP,35,68800,6.0,BRANCO,10,65858,496,24,4,35,68800,6.0,4,10
36065,RX 450,2013,JEEP,35,0,6.0,PRETO,0,36065,496,23,4,35,0,6.0,10,0
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
20698,RX 450,2012,JEEP,35,236016,6.0,PRETO,12,20698,496,22,4,35,236016,6.0,10,12
3607,RX 450,2013,JEEP,35,163010,6.0,PRETO,12,3607,496,23,4,35,163010,6.0,10,12
11290,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,11290,496,26,4,35,59858,6.0,9,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
11917,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,11917,496,26,4,35,59858,6.0,9,12
12231,RX 450,2010,JEEP,35,413474,6.0,AZUL,12,12231,496,20,4,35,413474,6.0,1,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
44846,RX 450,2011,JEEP,35,114000,6.0,BRANCO,12,44846,496,21,4,35,114000,6.0,4,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
56450,RX 450,2013,JEEP,35,85000,6.0,BRANCO,12,56450,496,23,4,35,85000,6.0,4,12
14583,RX 450,2012,JEEP,35,257072,6.0,CINZA,12,14583,496,22,4,35,257072,6.0,5,12
30107,RX 450,2012,JEEP,35,236016,6.0,PRETO,12,30107,496,22,4,35,236016,6.0,10,12
5175,RX 450,2013,JEEP,35,151288,6.0,CINZA,12,5175,496,23,4,35,151288,6.0,5,12
65858,RX 450,2014,JEEP,35,66575,6.0,BRANCO,12,65858,496,24,4,35,66575,6.0,4,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
11917,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,11917,496,26,4,35,59858,6.0,9,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
5018,RX 450,2010,JEEP,35,167222,6.0,PRETO,12,5018,496,20,4,35,167222,6.0,10,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
7997,RX 450,2008,JEEP,35,244731,6.0,PRETO,12,7997,496,18,4,35,244731,6.0,10,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
1019,RX 450,2013,JEEP,35,138038,6.0,BRANCO,12,1019,496,23,4,35,138038,6.0,4,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
2509,RX 450,2010,JEEP,35,315270,6.0,CINZA,12,2509,496,20,4,35,315270,6.0,5,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
13328,RX 450,2010,JEEP,35,186005,6.0,PRATA,12,13328,496,20,4,35,186005,6.0,9,12
26657,RX 450,2010,JEEP,35,0,6.0,PRETO,0,26657,496,20,4,35,0,6.0,10,0
11290,RX 450,2016,JEEP,35,59858,6.0,PRATA,12,11290,496,26,4,35,59858,6.0,9,12
13956,RX 450,2015,JEEP,35,143619,6.0,PRETO,12,13956,496,25,4,35,143619,6.0,10,12
59583,RX 450,2014,JEEP,35,65000,6.0,PRETO,12,59583,496,24,4,35,65000,6.0,10,12
